"team","specific_team","_col2"
"Channel","Bookkeepers",5
"CX","Sales Trainer",3
"Product","Performance",3
"Engineering","Operations Payroll",1
"Design","Payroll",1
"Marketing","Finance",1
"Finance","Privacy",1
"Operations","RevOps",1
"Product","Product success",4
"Product","Finance Banking",1
"CX","SMB",109
"Finance","FP&A",4
"Product","Product Finance",2
"Engineering","Accounting Sync",1
"People","Talent",8
"Engineering","Platform Identity",1
"Product","Talent Insights",2
"Operations","Marketing Operations ",21
"Channel","Partnership",134
"CX","Product Experts",2
"Engineering","Data",6
"Operations","Partnership",1
"People","Talent Acquisition",5
"Engineering","Time Off",2
"Product","Expenses",2
"Design","Communities",1
"Engineering","CRM",1
"Engineering","CIAM",2
"","",9
"Engineering","Space control",3
"CX","Self Service",27
"People","People Performance",2
"Engineering","Payroll Core",3
"Product Services","Onboarding",111
"Product","product marketing",3
"Engineering","Developer Experience",4
"Engineering","Time Operations",2
"Product Services","Project Management",4
"CX","Call Center",12
"Engineering","Engineering",1
"People","People Recruitment",1
"Sales","General ",1
"Growth","product marketing",3
"Sales","SDR Inbound",151
"Product","Payroll data flow",8
"Sales","Enterprise",8
"Channel","Strategy",11
"Marketing","Content Marketing",23
"Product Services","Payroll Professionals",10
"Engineering","Docs & Payroll Output",1
"Engineering","Talent Insights",2
"Product","Project Ops",1
"Channel","",1
"Engineering","Communities",5
"Engineering","People Employees",2
"Engineering","Payroll Outputs",1
"People","Talent Engagement",3
"Engineering","Finance",17
"Engineering","Platform Data",2
"Product","Product Experts",1
"Product","Onboarding",39
"Brand","Brand Studio",8
"Engineering","Growth",6
"Design","People Talent",1
"Engineering","Time foundations",3
"CX","Small Accounts",13
"Design","Design",1
"Product","Product Platform",1
"Product","Payroll",1
"Sales","SDR Outbound",442
"Operations","Operations",17
"Sales","Sales Trainer",3
"Product","Finance IT management",1
"Product","Core Processes",2
"Sales","Country PE",1
"Strategy","Strategy",15
"Engineering","People Trainings",3
"Marketing","Social Media",5
"Sales","XL Account Executives",21
"Channel","SDR",2
"Design","Onboarding",1
"Operations","Sales Enablement",2
"CX","Knowledge",1
"Product","Operations",11
"Operations","Sales Market Research",15
"Channel","Partners Marketing",9
"Engineering","Payroll data flow",2
"Finance","Financial Planning",1
"Product Services","Customer Support",1
"Engineering","Time",6
"Product","CRM",2
"Product","Communities",1
"Product","One",2
