"main_team_cleaned"
"[""Product"",""Design""]"
"[""Marketing"",""Engineering""]"
"[""Design"",""Marketing"",""Engineering""]"
"[""Management""]"
"[""Engineering"",""Marketing""]"
"[""CX"",""People""]"
"[""Product"",""Engineering""]"
"[""Sales"",""Product""]"
"[""Finance"",""Engineering""]"
"[""Marketing"",""Product""]"
"[""Other""]"
"[""Strategy""]"
"[""Design"",""Marketing""]"
"[""Design""]"
"[""Strategic Partnerships""]"
"[""Product""]"
"[""People"",""Product""]"
""
"[""Finance""]"
"[""Design"",""Product""]"
"[""People""]"
"[""Engineering"",""Finance""]"
"[""Marketing""]"
"[""Customer Experience""]"
"[""Engineering""]"
"[""CX""]"
"[""Sales""]"
